titre;categorie;lieux_extraits;date;url
La Goulette : De la drogue dissimulée dans des paquets de thé, de café et de chocolats;1;Tunis, port de la Goulette, Port de La Goulette, Tunisiens, Tunisien;27/05/2024;https://kapitalis.com/tunisie/2024/05/27/la-goulette-de-la-drogue-dissimulee-dans-des-paquets-de-the-de-cafe-et-de-chocolats/
Kébili : Un étranger et un Tunisien arrêtés pour trafic de stupéfiants;1;Prégabaline, Tunisien, Kébili;23/05/2024;https://kapitalis.com/tunisie/2024/05/23/kebili-un-etranger-et-un-tunisien-arretes-pour-trafic-de-stupefiants/
Bardo : Auteurs d’une série de braquages visant des femmes, deux délinquants arrêtés;3;Tunis, Bardo;22/05/2024;https://kapitalis.com/tunisie/2024/05/22/bardo-auteurs-dune-serie-de-braquages-visant-des-femmes-deux-delinquants-arretes/
Saisie de 100 plaquettes de cannabis à la Cité Ettadhamen;1;Ariana, Cité Ettadhamen;22/05/2024;https://kapitalis.com/tunisie/2024/05/22/saisie-de-100-plaquettes-de-cannabis-a-la-cite-ettadhamen/
Trafic de cocaïne et de cannabis : Un réseau démantelé dans le Grand-Tunis;1;Grand-Tunis;15/05/2024;https://kapitalis.com/tunisie/2024/05/15/trafic-de-cocaine-et-de-cannabis-un-reseau-demantele-dans-le-grand-tunis/
Réseau international de trafic d’héroïne : Arrestation de deux frères et d’une complice;1;Tunis, aéroport de Tunis, aéroport de Tunis-Carthage, Tunisie;14/05/2024;https://kapitalis.com/tunisie/2024/05/14/reseau-international-de-trafic-dheroine-arrestation-de-deux-freres-et-dune-complice/
Tunisie : Communiqué du MI à propos de l’arrestation de Me Zagrouba;4;Tunis, Tunisie, département de l’Intérieur;13/05/2024;https://kapitalis.com/tunisie/2024/05/13/tunisie-communique-du-mi-a-propos-de-larrestation-de-me-zagrouba/
Sousse : Un chauffeur de taxi arrêté pour le viol d’un mineur de 12 ans;4;Sousse;13/05/2024;https://kapitalis.com/tunisie/2024/05/13/sousse-un-chauffeur-de-taxi-arrete-pour-le-viol-dun-mineur-de-12-ans/
Tunisie : Du nouveau dans l’affaire de la mère maltraitante;2;Femme, Mahdia, Tunisie;11/05/2024;https://kapitalis.com/tunisie/2024/05/11/tunisie-du-nouveau-dans-laffaire-de-la-mere-maltraitante/
Kasserine : Arrestation de l’individu qui a agressé un avocat à l’arme blanche devant le tribunal;4;Kasserine, Thala, gouvernorat de Kasserine;09/05/2024;https://kapitalis.com/tunisie/2024/05/09/kasserine-arrestation-de-lindividu-qui-a-agresse-un-avocat-a-larme-blanche-devant-le-tribunal/
Un corps découvert près d’un canal : Le tueur arrêté à Boumhal;2;Tunis, Arous|Boumhal|homicide, Boumhal;08/05/2024;https://kapitalis.com/tunisie/2024/05/08/un-corps-decouvert-pres-dun-canal-le-tueur-arrete-a-boumhal/
Kasserine : Recherché pour terrorisme, un takfiriste arrêté en possession de drogue;1;Kasserine, cannabis|drogue|Hassi, Hassi El Farid;08/05/2024;https://kapitalis.com/tunisie/2024/05/08/kasserine-recherche-pour-terrorisme-un-takfiriste-arrete-en-possession-de-drogue/
Sfax : Deux individus arrêtés pour trafic de drogue et blanchiment d’argent;1;Sfax;07/05/2024;https://kapitalis.com/tunisie/2024/05/07/sfax-deux-individus-arretes-pour-trafic-de-drogue-et-blanchiment-dargent/
Un couple victime d’un car-jacking à Ennahli : Trois délinquants arrêtés;3;Ariana;07/05/2024;https://kapitalis.com/tunisie/2024/05/07/un-couple-victime-dun-car-jacking-a-ennahli-trois-delinquants-arretes/
